"Category","HMPU_TARGETS"
"Intertidal","Living Shorelines"
"Intertidal","Mangrove Forests"
"Intertidal","Salt Barrens"
"Intertidal","Salt Marshes"
"Intertidal","Tidal Tributaries"
"Subtidal","Artificial Reefs"
"Subtidal","Oyster Bars"
"Subtidal","Seagrasses"
"Subtidal","Tidal Flats"
"Suptratidal","Coastal Uplands"
"Suptratidal","Forested Freshwater Wetlands"
"Suptratidal","Native Uplands"
"Suptratidal","Non-Forested Freshwater Wetlands"
